Inflation_Rate,Date,Policy_Rate,Current_Account_Percent_GDP,GDP_Growth,Government_Debt_Percent_GDP,Government_Spending_Percent_GDP,Trade_Balance
4.6,2005-01-01,8.5,-2.66382240513017,6.24174804376447,90.6049131149854,20.1959652345785,-2179492537.31343
4.6,2006-01-01,8.5,-5.29942775531871,7.66829190107919,88.6994841221229,21.1477261899901,-3110580992.6895
4.6,2007-01-01,8.5,-4.33041626176129,6.79682611892866,84.9944169483341,20.0467042670386,-3356826499.54734
4.6,2008-01-01,8.5,-9.54319542329735,5.95008814473897,84.9944169483341,19.2117908296268,-5572122515.48947
4.6,2009-01-01,8.5,-0.510385718302903,3.53891205317842,86.063491912486,20.9584196862527,-2731111337.17134
4.6,2010-01-01,8.5,-1.83339432034317,8.01596737055139,69.2530251841806,16.3008487441516,-2731111337.17134
4.6,2011-01-01,8.5,-6.81209765536977,8.6694830119314,68.5257394056158,15.5785036231068,-2731111337.17134
4.6,2012-01-01,8.5,-5.69099818625964,8.63218137662685,66.747235367113,15.0683571124812,-2731111337.17134
4.6,2013-01-01,8.5,-3.3004682319038,4.05174633027869,68.3536165599981,14.1567195342154,-2731111337.17134
4.6,2014-01-01,8.5,-2.40840557987842,6.3779788972687,68.5910423357715,14.203291823048,-2731111337.17134
4.6,2015-01-01,8.5,-2.21267766202146,4.20595547449241,73.5126591624451,17.0880556546828,-6067962244.65068
4.6,2016-01-01,8.5,-1.9799949250478,5.05362488994436,73.5126591624451,15.6608133524657,-6004663555.81712
4.6,2017-01-01,8.5,-2.44676435306533,6.46068127065753,73.5126591624451,15.3308825075313,-6315206101.58595
4.6,2018-01-01,8.5,-2.96352841915778,2.31008425545845,73.5126591624451,15.2847949273464,-6533012704.85254
4.6,2019-01-01,8.5,-2.07126631371234,-0.220483886831275,73.5126591624451,15.9340645141306,-5142756455.86767
4.6,2020-01-01,8.5,-1.40761494671391,-4.62451503749502,73.5126591624451,19.0691715859524,-5206742613.44728
4.3,2021-01-01,8.5,-3.70866603778748,4.2074764951157,73.5126591624451,17.4670693340871,-6540800573.15354
6.7,2022-01-01,8.5,-1.95359411175867,-7.34919301306745,73.5126591624451,15.7428689340544,-2642073993.54976
6.3,2023-01-01,8.5,1.71904084626906,-2.3298481898334,73.5126591624451,18.1135068059197,-1806559058.60418
2.2,2024-01-01,8.0,1.21846968715026,5.00871930957159,73.5126591624451,18.1135068059197,-2597644514.30847
2.0,2025-01-01,7.75,1.21846968715026,5.00871930957159,73.5126591624451,18.1135068059197,-2597644514.30847
2.2,2026-01-01,7.75,1.21846968715026,5.00871930957159,73.5126591624451,18.1135068059197,-2597644514.30847
